number,company,symbol,ytd_return
179,Fox Corporation (Class B),FOX,14.71
180,Genuine Parts Company,GPC,14.56
181,AT&T,T,14.35
182,Hartford (The),HIG,14.33
183,Baker Hughes,BKR,14.15
184,Coca-Cola Company (The),KO,14.13
185,Nordson Corporation,NDSN,13.85
186,Teradyne,TER,13.84
187,Synchrony Financial,SYF,13.78
188,D. R. Horton,DHI,13.67
189,Consolidated Edison,ED,13.47
190,Mettler Toledo,MTD,13.40
191,PulteGroup,PHM,13.37
192,Abbott Laboratories,ABT,13.17
193,Eaton Corporation,ETN,12.75
194,Dominion Energy,D,12.75
195,Phillips 66,PSX,12.72
196,Trimble Inc.,TRMB,12.69
197,Realty Income,O,12.23
198,Travelers Companies (The),TRV,12.03
199,Cigna,CI,12.01
200,Boston Scientific,BSX,11.76
201,CMS Energy,CMS,11.68
202,Franklin Resources,BEN,11.66
203,PTC Inc.,PTC,11.33
204,Cadence Design Systems,CDNS,11.32
205,IQVIA,IQV,11.32
206,Kroger,KR,11.19
207,BlackRock,BLK,11.16
208,CSX Corporation,CSX,11.14
209,AES Corporation,AES,11.07
210,Yum! Brands,YUM,10.87
211,Solventum,SOLV,10.49
212,"Tesla, Inc.",TSLA,10.28
213,Visa Inc.,V,10.22
214,Mohawk Industries,MHK,10.10
215,Hershey Company (The),HSY,10.06
216,Republic Services,RSG,9.84
217,Qualcomm,QCOM,9.81
218,Datadog,DDOG,9.79
219,Expeditors International,EXPD,9.50
220,Mastercard,MA,9.04
221,Hewlett Packard Enterprise,HPE,8.89
222,Cincinnati Financial,CINF,8.81
223,Berkshire Hathaway,BRK.B,8.77
224,Corteva,CTVA,8.73
225,Pinnacle West,PNW,8.67
226,Deere & Company,DE,8.58
227,Crown Castle,CCI,8.56
228,Agilent Technologies,A,8.50
229,Textron,TXT,8.43
230,Freeport-McMoRan,FCX,7.98
231,Cintas,CTAS,7.90
232,Pentair,PNR,7.87
233,American International Group,AIG,7.80
234,Hilton Worldwide,HLT,7.70
235,Linde plc,LIN,7.57
236,Intuit,INTU,7.47
237,Thermo Fisher Scientific,TMO,7.35
238,CoStar Group,CSGP,6.97
239,Emerson Electric,EMR,6.84
240,NXP Semiconductors,NXPI,6.79
241,Waste Management,WM,6.73
242,Raymond James Financial,RJF,6.71
243,Booking Holdings,BKNG,6.67
244,DuPont,DD,6.53
245,Vici Properties,VICI,6.52
246,Expand Energy,EXE,6.34
247,Chevron Corporation,CVX,6.13
248,Albemarle Corporation,ALB,5.84
249,McDonald's,MCD,5.82
250,Vertex Pharmaceuticals,VRTX,5.73
251,Willis Towers Watson,WTW,5.61
252,Intercontinental Exchange,ICE,5.30
253,Autodesk,ADSK,5.17
254,Sempra,SRE,5.14
255,Stryker Corporation,SYK,5.13
256,Apple Inc.,AAPL,5.01
257,Aflac,AFL,4.83
258,ExxonMobil,XOM,4.81
259,TransDigm Group,TDG,4.70
260,American Tower,AMT,4.66
261,Ametek,AME,4.59
262,Lilly (Eli),LLY,4.31
263,Wabtec,WAB,4.27
264,Keysight Technologies,KEYS,4.24
265,Simon Property Group,SPG,3.87
266,A. O. Smith,AOS,3.83
267,T-Mobile US,TMUS,3.80
268,Sysco,SYY,3.65
269,Ross Stores,ROST,3.59
270,Mondelez International,MDLZ,3.57
271,Hubbell Incorporated,HUBB,3.57
272,Tractor Supply,TSCO,3.46
273,Regions Financial Corporation,RF,3.42
274,Delta Air Lines,DAL,3.38
275,Southwest Airlines,LUV,3.33
276,United Airlines Holdings,UAL,3.29
277,Williams-Sonoma,WSM,3.14
278,Public Storage,PSA,3.09
279,Broadridge Financial Solutions,BR,2.90
280,Principal Financial Group,PFG,2.87
281,Edwards Lifesciences,EW,2.68
282,Hologic,HOLX,2.66
283,Walt Disney Company (The),DIS,2.62
284,Moody's Corporation,MCO,2.54
285,Kellanova,K,2.50
286,Costco,COST,2.39
287,NetApp,NTAP,2.30
288,Veralto,VLTO,2.30
